subscription_id,idempotency_key,owner_student_id,plan_type,plan_name,classes_per_month,classes_remaining,amount_ils,billing_frequency,status,created_at,updated_at
178,user_subscription_details::178,1285,solo,Yearly,32,0,0.00,monthly,pending,2023-08-31 05:48:25+05:30,2023-11-18 10:50:53+05:30
179,user_subscription_details::179,1284,solo,Yearly,32,0,0.00,monthly,pending,2023-08-31 05:48:42+05:30,2023-11-18 10:51:04+05:30
180,user_subscription_details::180,1283,solo,Yearly,32,0,0.00,monthly,pending,2023-08-31 05:48:59+05:30,2023-11-18 10:51:13+05:30
181,user_subscription_details::181,1286,solo,Yearly,32,0,0.00,monthly,pending,2023-08-31 07:58:13+05:30,2023-12-03 04:42:47+05:30
182,user_subscription_details::182,1287,solo,Yearly,16,0,0.00,monthly,pending,2023-08-31 09:51:17+05:30,2024-01-10 12:50:38+05:30
183,user_subscription_details::183,1229,solo,Monthly,16,0,0.00,monthly,pending,2023-09-03 07:46:11+05:30,2023-10-03 00:00:05+05:30
184,user_subscription_details::184,1191,solo,Yearly,32,0,0.00,monthly,pending,2023-09-03 09:28:12+05:30,2023-12-26 08:59:45+05:30
185,user_subscription_details::185,1232,solo,Quarterly,16,0,0.00,monthly,pending,2023-09-03 18:27:55+05:30,2024-05-01 07:51:27+05:30
186,user_subscription_details::186,1108,solo,Yearly,32,0,0.00,monthly,pending,2023-09-04 05:04:36+05:30,2025-02-16 07:57:44+05:30
187,user_subscription_details::187,1247,solo,Yearly,32,8,0.00,monthly,pending,2023-09-04 07:24:28+05:30,2024-01-03 07:49:19+05:30
188,user_subscription_details::188,1288,solo,Monthly,16,4,0.00,monthly,cancelled,2023-09-04 07:31:54+05:30,2025-07-24 11:43:34+05:30
189,user_subscription_details::189,1289,solo,Yearly,16,0,0.00,monthly,pending,2023-09-04 08:28:52+05:30,2023-11-18 10:51:39+05:30
190,user_subscription_details::190,1291,solo,Yearly,16,0,0.00,monthly,pending,2023-09-04 09:31:43+05:30,2023-11-28 14:45:42+05:30
191,user_subscription_details::191,1290,solo,Yearly,16,0,0.00,monthly,pending,2023-09-04 09:32:16+05:30,2023-10-05 07:07:35+05:30
192,user_subscription_details::192,1297,solo,Yearly,16,0,0.00,monthly,pending,2023-09-04 18:25:26+05:30,2023-11-18 09:56:52+05:30
193,user_subscription_details::193,1296,solo,Yearly,16,0,0.00,monthly,pending,2023-09-04 18:25:51+05:30,2023-11-18 09:57:05+05:30
194,user_subscription_details::194,1292,solo,Yearly,32,0,0.00,monthly,pending,2023-09-04 19:24:44+05:30,2024-02-01 21:38:54+05:30
195,user_subscription_details::195,1294,solo,Monthly_40,16,4,0.00,monthly,pending,2023-09-05 07:15:51+05:30,2024-05-13 00:00:03+05:30
196,user_subscription_details::196,1293,solo,Monthly_40,16,4,0.00,monthly,pending,2023-09-05 07:16:22+05:30,2024-05-13 00:00:03+05:30
197,user_subscription_details::197,1301,solo,Yearly,32,0,0.00,monthly,pending,2023-09-05 07:42:44+05:30,2023-11-18 10:54:18+05:30
198,user_subscription_details::198,1300,solo,Yearly,32,0,0.00,monthly,pending,2023-09-05 07:43:04+05:30,2023-11-18 10:54:40+05:30
199,user_subscription_details::199,1299,solo,Yearly,32,0,0.00,monthly,pending,2023-09-05 07:43:34+05:30,2023-11-18 10:54:48+05:30
200,user_subscription_details::200,1303,solo,Monthly,32,0,0.00,monthly,pending,2023-09-05 09:25:59+05:30,2023-10-17 14:34:45+05:30
201,user_subscription_details::201,1305,solo,Yearly,16,0,0.00,monthly,pending,2023-09-06 08:37:00+05:30,2023-12-04 16:36:30+05:30
202,user_subscription_details::202,1306,solo,Monthly,16,4,0.00,monthly,cancelled,2023-09-06 09:38:38+05:30,2024-05-06 12:40:28+05:30
204,user_subscription_details::204,1309,solo,Yearly,48,0,0.00,monthly,pending,2023-09-06 13:15:50+05:30,2023-12-06 05:53:39+05:30
205,user_subscription_details::205,1311,solo,Yearly,32,0,0.00,monthly,pending,2023-09-06 14:04:25+05:30,2023-11-18 10:52:03+05:30
206,user_subscription_details::206,1312,solo,Yearly,32,0,0.00,monthly,pending,2023-09-06 16:29:53+05:30,2024-01-14 17:04:09+05:30
207,user_subscription_details::207,1313,solo,Monthly_55,32,7,0.00,monthly,cancelled,2023-09-06 16:33:46+05:30,2024-05-05 14:46:23+05:30
208,user_subscription_details::208,1314,solo,Yearly,16,0,0.00,monthly,pending,2023-09-06 19:41:11+05:30,2023-11-11 12:42:35+05:30
209,user_subscription_details::209,1315,solo,Monthly,32,8,0.00,monthly,cancelled,2023-09-07 06:25:18+05:30,2024-05-02 16:42:48+05:30
210,user_subscription_details::210,1316,solo,Yearly,32,0,0.00,monthly,pending,2023-09-07 08:59:14+05:30,2023-11-07 06:39:39+05:30
211,user_subscription_details::211,1317,solo,Monthly_55,32,8,0.00,monthly,cancelled,2023-09-07 10:42:41+05:30,2024-08-05 10:42:14+05:30
212,user_subscription_details::212,1199,solo,Yearly,32,0,0.00,monthly,pending,2023-09-07 12:08:44+05:30,2024-04-09 04:08:33+05:30
213,user_subscription_details::213,1318,solo,Quarterly,32,1,0.00,monthly,pending,2023-09-07 12:33:22+05:30,2024-04-09 12:54:56+05:30
214,user_subscription_details::214,1319,solo,Yearly,32,0,0.00,monthly,pending,2023-09-07 14:13:26+05:30,2024-03-06 10:01:16+05:30
215,user_subscription_details::215,1307,solo,Yearly,32,0,0.00,monthly,pending,2023-09-07 14:55:04+05:30,2023-12-03 08:59:41+05:30
216,user_subscription_details::216,1308,solo,Yearly,32,8,0.00,monthly,pending,2023-09-07 15:10:24+05:30,2024-01-14 07:26:31+05:30
217,user_subscription_details::217,1223,solo,Quarterly,16,4,0.00,monthly,pending,2023-09-07 20:11:35+05:30,2023-12-07 00:00:04+05:30
